group id	post id	comment id	text length	author id	age	city id
-25557243	2483009	2483010	1	2471855	27	1
-25557243	2483009	2483011	2	168445358	20	1
-25557243	2483009	2483012	3	205536450	None	104
-25557243	2483009	2483013	1	380876579	19	0
-25557243	2483009	2483015	1	3744298	None	1017
-25557243	2483009	2483016	3	26990966	19	73
-25557243	2483009	2483017	10	145811137	21	105
-25557243	2483009	2483018	1	414417459	26	0
-25557243	2483009	2483019	4	84382581	19	146
-25557243	2483009	2483020	6	249006866	None	0
-25557243	2483009	2483021	9	377197691	None	0
-25557243	2483009	2483022	1	319499542	None	190
-25557243	2483009	2483023	3	256695606	65	2
-25557243	2483009	2483025	5	19631418	None	1803194
-25557243	2483009	2483026	1	137046577	30	1
-25557243	2483009	2483027	4	179201651	None	0
-25557243	2483009	2483028	5	405962177	None	0
-25557243	2483009	2483029	1	3807566	27	2
-25557243	2483009	2483030	4	40678782	None	6050
-25557243	2483009	2483031	1	10439886	26	109
-25557243	2483009	2483032	1	8431806	None	99
-25557243	2483009	2483033	3	136243506	None	0
-25557243	2483009	2483034	1	5403382	None	119
-25557243	2483009	2483035	1	368901152	None	244
-25557243	2483009	2483036	4	399451607	21	49
-25557243	2483009	2483038	2	313010988	32	1
-25557243	2483009	2483039	4	136236771	None	2
-25557243	2483009	2483040	5	368016395	None	1
-25557243	2483009	2483041	4	181940002	None	119
-25557243	2483009	2483042	1	13651262	22	1
-25557243	2483009	2483043	4	349867282	None	119
-25557243	2483009	2483044	3	70625193	None	0
-25557243	2483009	2483045	2	142221780	None	158
-25557243	2483009	2483046	3	52563057	None	1
-25557243	2483009	2483047	4	227094282	23	0
-25557243	2483009	2483048	2	12955870	None	650
-25557243	2483009	2483049	9	6717628	None	55
-25557243	2483009	2483050	15	71909501	70	273
-25557243	2483009	2483051	12	322155292	None	0
-25557243	2483009	2483052	7	228534677	22	66
-25557243	2483009	2483053	9	232847494	None	1
-25557243	2483009	2483054	1	116634191	None	8
-25557243	2483009	2483055	15	77127434	None	57
-25557243	2483009	2483056	6	42915869	25	101
-25557243	2483009	2483057	39	173237098	None	528
-25557243	2483009	2483058	8	182826206	20	1107
-25557243	2483009	2483059	2	272685677	19	0
-25557243	2483009	2483060	8	335321914	None	0
-25557243	2483009	2483061	2	172848428	19	81
-25557243	2483009	2483062	13	181780808	23	205
-25557243	2483009	2483063	1	296949289	None	3807
-25557243	2483009	2483064	1	139013720	None	282
-25557243	2483009	2483066	3	204691	29	1920043
-25557243	2483009	2483067	3	222728903	None	0
-25557243	2483009	2483068	9	227094282	23	0
-25557243	2483009	2483069	16	179201651	None	0
-25557243	2483009	2483070	14	217491971	22	113
-25557243	2483009	2483071	9	90651303	22	763
-25557243	2483009	2483072	17	91246826	25	1
-25557243	2483009	2483073	2	41429209	None	0
-25557243	2483009	2483074	19	182826206	20	1107
-25557243	2483009	2483075	7	151367046	32	141
-25557243	2483009	2483076	2	310085391	None	0
-25557243	2483009	2483077	1	155993978	None	21855
-25557243	2483009	2483078	2	378830596	None	0
-25557243	2483009	2483079	13	134325109	33	1
-25557243	2483009	2483080	2	28054856	None	377
-25557243	2483009	2483081	18	173237098	None	528
-25557243	2483009	2483083	1	147782046	25	42
-25557243	2483009	2483084	30	179201651	None	0
-25557243	2483009	2483085	12	5926866	35	110
-25557243	2483009	2483086	31	173237098	None	528
-25557243	2483009	2483087	14	141294009	None	2
-25557243	2483009	2483088	2	1043133	27	2
-25557243	2483009	2483089	8	141336937	None	134
-25557243	2483009	2483090	20	7120621	None	146
-25557243	2483009	2483091	2	1260802	None	0
-25557243	2483009	2483092	2	145767314	31	42
-25557243	2483009	2483093	6	66447119	20	280
-25557243	2483009	2483094	13	39635591	None	119
-25557243	2483009	2483095	5	250040294	None	1
-25557243	2483009	2483096	1	83238014	24	138
-25557243	2483009	2483098	2	24746297	None	73
-25557243	2483009	2483099	4	306729156	24	104
-25557243	2483009	2483100	9	231735382	None	33
-25557243	2483009	2483101	5	53195450	None	0
-25557243	2483009	2483103	17	116506204	20	1
-25557243	2483009	2483104	8	9167917	None	0
-25557243	2483009	2483106	1	90925137	None	10
-25557243	2483009	2483107	1	122397736	18	9196
-25557243	2483009	2483108	6	1582498	32	1
-25557243	2483009	2483109	3	290616747	None	0
-25557243	2483009	2483110	6	82501188	None	0
-25557243	2483009	2483111	2	382058733	19	0
-25557243	2483009	2483113	1	268724110	None	1
-25557243	2483009	2483114	7	70625193	None	0
-25557243	2483009	2483115	6	32745546	25	0
-25557243	2483009	2483116	6	15772751	None	10
-25557243	2483009	2483117	9	7959218	97	2
-25557243	2483009	2483119	13	231735382	None	33
-25557243	2483009	2483120	4	50564927	None	1463
-25557243	2483009	2483121	12	20011790	None	56
-25557243	2483009	2483122	6	122397736	18	9196
-25557243	2483009	2483123	7	27429043	None	0
-25557243	2483009	2483124	4	29751846	22	282
-25557243	2483009	2483125	6	152849742	None	0
-25557243	2483009	2483126	11	184519899	None	0
-25557243	2483009	2483127	5	192270750	30	125
-25557243	2483009	2483128	3	24678468	None	0
-25557243	2483009	2483129	3	707246	33	2
-25557243	2483009	2483130	16	38409186	None	2
-25557243	2483009	2483131	32	912615	28	1
-25557243	2483009	2483132	18	16277300	None	185
-25557243	2483009	2483134	7	15422565	None	1
-25557243	2483009	2483135	10	17938546	31	2
-25557243	2483009	2483136	3	94258987	None	591
-25557243	2483009	2483137	9	32124238	29	99
-25557243	2483009	2483138	4	407697608	None	0
-25557243	2483009	2483139	3	132503376	25	704
-25557243	2483009	2483140	3	74622852	None	0
-25557243	2483009	2483141	3	312611498	None	314
-25557243	2483009	2483142	3	150410325	18	1397
-25557243	2483009	2483143	38	328834205	None	0
-25557243	2483009	2483144	2	34822213	None	110
-25557243	2483009	2483145	1	398003586	23	161
-25557243	2483009	2483146	6	88254628	None	1962158
-25557243	2483009	2483147	4	203325405	None	131
-25557243	2483009	2483148	1	224842741	None	0
-25557243	2483009	2483149	6	124255430	None	1
-25557243	2483009	2483150	15	1569797	None	0
-25557243	2483009	2483151	5	4304061	27	818
-25557243	2483009	2483152	2	3651572	None	139
-25557243	2483009	2483153	8	41883254	19	292
-25557243	2483009	2483154	5	18105593	28	110
-25557243	2483009	2483155	7	18105593	28	110
-25557243	2483009	2483156	12	178733670	20	39
-25557243	2483009	2483157	3	79069860	28	49
-25557243	2483009	2483158	6	222975364	27	1
-25557243	2483009	2483159	13	35974078	21	149
-25557243	2483009	2483160	1	87714951	22	1483
-25557243	2483009	2483161	1	45030966	22	0
-25557243	2483009	2483162	13	328834205	None	0
-25557243	2483009	2483163	3	2065814	29	1
-25557243	2483009	2483164	7	2312604	None	1
-25557243	2483009	2483165	1	176431030	None	1
-25557243	2483009	2483166	6	146482808	20	73
-25557243	2483009	2483167	7	181011146	None	18033
-25557243	2483009	2483168	1	289194050	18	801
-25557243	2483009	2483169	14	332092436	None	0
-25557243	2483009	2483170	18	300621913	23	1
-25557243	2483009	2483171	17	77042504	23	1123041
-25557243	2483009	2483172	5	14006568	None	119
-25557243	2483009	2483174	4	63640408	None	123
-25557243	2483009	2483176	6	85955801	23	10
-25557243	2483009	2483177	3	5273448	None	151
-25557243	2483009	2483178	4	151757998	None	122
-25557243	2483009	2483179	15	332092436	None	0
-25557243	2483009	2483180	8	417634	29	2
-25557243	2483009	2483181	7	251469984	14	0
-25557243	2483009	2483183	3	64013655	24	60
-25557243	2483009	2483184	8	18478312	None	2
-25557243	2483009	2483185	2	349867282	None	119
-25557243	2483009	2483186	14	141049731	None	148
-25557243	2483009	2483187	11	300621913	23	1
-25557243	2483009	2483188	4	254427303	None	292
-25557243	2483009	2483189	4	311769156	18	75
-25557243	2483009	2483190	5	134842690	24	709
-25557243	2483009	2483191	2	311769156	18	75
-25557243	2483009	2483193	2	214768070	28	444
-25557243	2483009	2483194	1	217957252	None	1581
-25557243	2483009	2483195	4	76517389	None	2
-25557243	2483009	2483196	2	64013655	24	60
-25557243	2483009	2483197	3	145534098	23	0
-25557243	2483009	2483198	12	332092436	None	0
-25557243	2483009	2483199	6	142164911	None	133
-25557243	2483009	2483200	11	77506092	None	169
-25557243	2483009	2483201	15	45298118	23	210
-25557243	2483009	2483202	2	36864397	None	7279
-25557243	2483009	2483203	1	55171725	21	95
-25557243	2483009	2483204	2	935419	25	2
-25557243	2483009	2483205	34	236184930	23	1
-25557243	2483009	2483206	4	154232812	None	123
-25557243	2483009	2483208	1	270478632	15	3238
-25557243	2483009	2483210	2	270478632	15	3238
-25557243	2483009	2483211	6	97691922	None	72
-25557243	2483009	2483212	5	154232812	None	123
-25557243	2483009	2483213	17	14665985	None	110
-25557243	2483009	2483214	115	136236771	None	2
-25557243	2483009	2483215	9	6587499	None	1
-25557243	2483009	2483216	11	332092436	None	0
-25557243	2483009	2483219	8	71499152	19	95
-25557243	2483009	2483222	16	47915319	None	24
-25557243	2483009	2483223	1	117547714	22	280
-25557243	2483009	2483225	4	395023091	23	0
-25557243	2483009	2483226	3	23261501	None	0
-25557243	2483009	2483227	26	41883254	19	292
-25557243	2483009	2483228	10	15609829	None	264
-25557243	2483009	2483229	6	31703416	17	97
-25557243	2483009	2483232	4	379510628	20	0
-25557243	2483009	2483233	25	225113822	20	828
-25557243	2483009	2483234	11	76872849	21	2
-25557243	2483009	2483235	3	133374598	19	161
-25557243	2483009	2483237	8	28054856	None	377
-25557243	2483009	2483238	5	292791038	42	4832
-25557243	2483009	2483239	5	324983510	None	2
-25557243	2483009	2483240	3	220276473	18	147
-25557243	2483009	2483241	1	198406778	None	980
-25557243	2483009	2483242	3	311222585	None	116
-25557243	2483009	2483243	7	24935497	25	728
-25557243	2483009	2483245	2	27463011	29	151
-25557243	2483009	2483246	8	17947422	21	185
-25557243	2483009	2483247	33	19753169	20	314
-25557243	2483009	2483248	2	183370404	None	0
-25557243	2483009	2483249	3	53839409	None	0
-25557243	2483009	2483250	16	15372657	30	147
-25557243	2483009	2483251	9	4312832	None	0
